,err_up,err_low,n,m
91,0.005870020964360587,0.1719589643380557,30,15
92,0.003451251078515962,0.1915983606557377,30,15
93,0.00390625,0.18615384615384614,30,15
94,0.005319148936170213,0.18181818181818182,30,15
95,0.004127115146512587,0.17992240543161978,30,15
96,0.006071118820468344,0.17886178861788618,30,15
97,0.0025906735751295338,0.17391304347826086,30,15
98,0.00422654268808115,0.17682020802377416,30,15
99,0.0004426737494466578,0.1715914981855884,30,15
100,0.0650775633749527,0.32845681925436526,30,20
101,-0.050980392156862744,0.14297981966509232,30,20
102,0.0,0.24124343257443082,30,20
103,0.005030542579949695,0.23487858719646798,30,20
104,0.0029850746268656717,0.21464075915047448,30,20
105,0.008233532934131737,0.2217687074829932,30,20
106,0.0,0.20935412026726058,30,20
107,0.0011061946902654867,0.20989304812834225,30,20
108,0.0024893314366998577,0.2109106529209622,30,20
109,0.0,0.20578084555651424,30,20
110,-0.09307479224376732,-0.05211349160393746,30,5
111,0.10262675626145389,0.14096080910240202,30,5
112,0.0,0.04304635761589404,30,5
113,0.0,0.04042288557213931,30,5
114,0.0,0.03787878787878788,30,5
115,0.0,0.03768996960486322,30,5
116,0.0,0.03763143331488655,30,5
117,0.0,0.037366548042704624,30,5
118,0.0005861664712778429,0.037059538274605106,30,5
119,0.0,0.03643966547192354,30,5
120,0.0064516129032258064,0.1054030115146147,40,10
121,0.009685230024213076,0.07060333761232349,40,10
122,0.0,0.0925346446133214,40,10
123,0.0,0.0748663101604278,40,10
124,0.012540453074433657,0.08214440121054907,40,10
125,0.007835051546391752,0.07381370826010544,40,10
126,0.0039261876717707105,0.07121910347716799,40,10
127,0.009196321471411436,0.07679180887372014,40,10
128,0.008430349257326376,0.07442258340461934,40,10
129,0.014516798009124844,0.07516483516483516,40,10
130,-0.008635004981733644,0.13757621951219512,40,15
131,0.026485568760611207,0.15161904761904763,40,15
132,0.006380716058135413,0.13970293054997993,40,15
133,0.01032346868547832,0.14152410575427682,40,15
134,0.0027406646111682084,0.13625776397515527,40,15
135,0.006112054329371817,0.13307839388145315,40,15
136,0.012121212121212121,0.13833199679230151,40,15
137,0.00697350069735007,0.13033268101761253,40,15
138,0.008620689655172414,0.13460046547711405,40,15
139,0.00812407680945347,0.13419194017449107,40,15
140,-0.050811785929043896,0.13971119133574006,40,20
141,0.06758488148622678,0.25631360723709007,40,20
142,0.008679479231246125,0.20652576937337783,40,20
143,0.006495515001546551,0.19941024695908588,40,20
144,0.0037117228580266005,0.19126284875183552,40,20
145,0.007855973813420621,0.19758848697005058,40,20
146,0.006892230576441102,0.1908114116339385,40,20
147,0.004932182490752158,0.1858857766460531,40,20
148,0.009797917942437232,0.19319826338639653,40,20
149,0.0074962518740629685,0.18560338743824983,40,20
150,-0.02003338898163606,0.02443280977312391,40,5
151,0.020442930153321975,0.04674530362603757,40,5
152,0.0,0.038706933219906425,40,5
153,0.0,0.032288698955365625,40,5
154,0.0,0.03218059558117195,40,5
155,0.0017801513128615932,0.03304268012849931,40,5
156,0.0,0.03012912482065997,40,5
157,0.0,0.029864675688287448,40,5
158,0.0,0.02723404255319149,40,5
159,0.0,0.0258121940364931,40,5
160,0.05639097744360902,0.12563729060451567,50,10
161,-0.03763089005235602,0.012044046799724708,50,10
162,0.0016474464579901153,0.07004575853572685,50,10
163,0.0016561775422325273,0.06629055007052186,50,10
164,0.010323010323010324,0.06906272022551092,50,10
165,0.004920049200492005,0.06449511400651466,50,10
166,0.0,0.05919946182307433,50,10
167,0.015130190007037298,0.05988243938280676,50,10
168,0.011067708333333334,0.059345156889495224,50,10
169,0.0,0.05738278516445067,50,10
170,0.03468033775633293,0.14825970548862116,50,15
171,-0.012944983818770227,0.08086340206185567,50,15
172,0.010158350761876307,0.11326967402041488,50,15
173,0.013935171160254469,0.11641094062708472,50,15
174,0.014484521442771939,0.11904761904761904,50,15
175,0.017996400719856028,0.11681474169134584,50,15
176,0.010460251046025104,0.11143984220907298,50,15
177,0.004871060171919771,0.10248349575605156,50,15
178,0.006122448979591836,0.10079744816586922,50,15
179,0.006864274570982839,0.10211748633879782,50,15
180,0.030056864337936636,0.202275600505689,50,20
181,-0.007694348633589812,0.13299000302938505,50,20
182,0.012906695348211886,0.168424317617866,50,20
183,0.016120507399577166,0.17082825822168088,50,20
184,0.0024265300620113237,0.1507273290003095,50,20
185,0.006057268722466961,0.1574279379157428,50,20
186,0.014756258234519103,0.16874051593323217,50,20
187,0.022997835497835496,0.17458838148493322,50,20
188,0.0013217023526301878,0.1496206373292868,50,20
189,0.008123689727463312,0.15283188492658076,50,20
190,-0.07234042553191489,-0.04579124579124579,50,5
191,0.0779816513761468,0.09852571017619562,50,5
192,0.0,0.02478448275862069,50,5
193,0.0,0.023862788963460103,50,5
194,0.0,0.02271907681211684,50,5
195,0.0,0.021382751247327157,50,5
196,0.0,0.021207764198418404,50,5
197,0.0,0.02040816326530612,50,5
198,0.0,0.020144431774990496,50,5
199,0.0,0.019844357976653695,50,5
200,0.026491994177583696,0.08292383292383293,60,10
201,-0.01288659793814433,0.030185295875672445,60,10
202,0.004651162790697674,0.052450558899398106,60,10
203,0.0023371311714869996,0.05213124808341,60,10
204,0.007814761215629523,0.053555219364599095,60,10
205,0.0068473609129814554,0.0506103006847276,60,10
206,0.006956037840845854,0.049593967517401395,60,10
207,0.0021893814997263274,0.045986860896886604,60,10
208,0.0005630630630630631,0.04467960023515579,60,10
209,0.0016282225237449117,0.0459053556248229,60,10
210,0.0,0.08749654982059067,60,15
211,0.018195797027165558,0.10055401662049862,60,15
212,0.010802469135802469,0.09715242881072027,60,15
213,0.009278350515463918,0.09080779944289694,60,15
214,0.006189451022604951,0.09551714034573688,60,15
215,0.012883277505797475,0.08861811132650235,60,15
216,0.010017980991523246,0.09282934963868816,60,15
217,0.014176949330532948,0.094644375177104,60,15
218,0.006134969325153374,0.09143518518518519,60,15
219,0.013157894736842105,0.09624145785876993,60,15
220,0.017775642565457602,0.14854974247763622,60,20
221,0.005711565920990005,0.11828526065096587,60,20
222,0.010722610722610723,0.1398527865404837,60,20
223,0.01809851088201604,0.1483204134366925,60,20
224,0.010732172668733603,0.13588850174216027,60,20
225,0.009532888465204958,0.13050440352281825,60,20
226,0.011899095668729176,0.12964930924548354,60,20
227,0.007741027445460943,0.1251964379256155,60,20
228,0.016985645933014354,0.13118680149015433,60,20
229,0.006396588486140725,0.12858660998937302,60,20
230,0.09343283582089552,0.11813186813186813,60,5
231,-0.08544908544908544,-0.07150776053215077,60,5
232,0.0,0.02140468227424749,60,5
233,0.0,0.02129011757229107,60,5
234,0.0,0.019987507807620236,60,5
235,0.0,0.018477222045237336,60,5
236,0.0,0.016023544800523218,60,5
237,0.0,0.01593625498007968,60,5
238,0.0,0.01535735380980508,60,5
239,0.0,0.015289525048796356,60,5
