,err_up,err_low,n,m
91,0.011320754716981131,0.17830972154372252,30,15
92,0.016824849007765316,0.2074795081967213,30,15
93,0.005208333333333333,0.18769230769230769,30,15
94,0.01104746317512275,0.18855218855218855,30,15
95,0.0008254230293025176,0.17604267701260912,30,15
96,0.0026019080659150044,0.17479674796747968,30,15
97,0.0030224525043177895,0.1744186046511628,30,15
98,0.005917159763313609,0.17880138682516097,30,15
99,0.0004426737494466578,0.1715914981855884,30,15
100,0.0681044267877412,0.3322321849929212,30,20
101,-0.05062388591800356,0.14340918849291542,30,20
102,0.008112874779541446,0.2513134851138354,30,20
103,0.012935680919870643,0.2445916114790287,30,20
104,0.009701492537313432,0.2227745142340714,30,20
105,0.009730538922155689,0.2235827664399093,30,20
106,0.004051565377532229,0.21425389755011137,30,20
107,0.00663716814159292,0.21657754010695188,30,20
108,0.004267425320056899,0.21305841924398625,30,20
109,0.009302325581395349,0.2169974115616911,30,20
110,-0.09307479224376732,-0.05211349160393746,30,5
111,0.10262675626145389,0.14096080910240202,30,5
112,0.0,0.04304635761589404,30,5
113,0.0,0.04042288557213931,30,5
114,0.0,0.03787878787878788,30,5
115,0.0,0.03768996960486322,30,5
116,0.0,0.03763143331488655,30,5
117,0.0,0.037366548042704624,30,5
118,0.0029308323563892145,0.03948967193195626,30,5
119,0.0,0.03643966547192354,30,5
120,0.015725806451612902,0.11558901682905226,40,10
121,0.011702986279257466,0.07274283269148481,40,10
122,0.0008183306055646482,0.09342869915064819,40,10
123,0.004975124378109453,0.08021390374331551,40,10
124,0.013349514563106795,0.08300907911802853,40,10
125,0.00865979381443299,0.07469244288224956,40,10
126,0.0149195131527287,0.08294930875576037,40,10
127,0.01759296281487405,0.08575085324232082,40,10
128,0.011641910879164994,0.07784431137724551,40,10
129,0.015761094981335544,0.07648351648351648,40,10
130,-0.012288276320159415,0.13338414634146342,40,15
131,0.03701188455008489,0.16342857142857142,40,15
132,0.008507621410847217,0.1421116017663589,40,15
133,0.01169993117687543,0.14307931570762053,40,15
134,0.019184652278177457,0.15489130434782608,40,15
135,0.010186757215619695,0.13766730401529637,40,15
136,0.0196078431372549,0.1467522052927025,40,15
137,0.014644351464435146,0.13894324853228962,40,15
138,0.010344827586206896,0.1365399534522886,40,15
139,0.00775480059084195,0.13377648525135022,40,15
140,-0.04449789536981359,0.1472924187725632,40,20
141,0.06918641896220372,0.2581982661138334,40,20
