ID,RPD,RPE,TIME
21520,4.70196,20.6068,44763.8
21620,4.6635,20.5779,45263.5
21720,4.58405,20.4628,45104.5
21820,4.66299,20.569,45216.3
21920,4.57497,20.4752,45375.8
22020,4.74439,20.6517,45722.4
22120,4.59137,20.503,45914.1
22220,4.59512,20.4916,45750.5
22320,4.70677,20.6112,46719.1
22420,4.72781,20.6254,46270
22520,4.64275,20.5663,46453.9
22620,4.58193,20.4552,46609.5
22720,4.69984,20.6049,47190.6
22820,4.73892,20.6713,47241.4
22920,4.83349,20.7873,47368.1
23020,4.67535,20.5774,48007.6
23120,4.61852,20.4929,49454.7
23220,4.66414,20.5535,48505.5
23320,4.52946,20.4028,48801.3
23420,4.75686,20.6702,48545.7
23520,4.66713,20.569,49442.7
23620,4.63862,20.5303,48652.3
23720,4.73335,20.6454,49478
23820,4.73115,20.6303,49562.4
23920,4.73699,20.6562,49128.6
24020,4.67944,20.5868,49945
24120,4.73943,20.6559,49607.9
24220,4.65472,20.5476,50175.9
24320,4.65873,20.5606,50619.3
24420,4.69377,20.5978,51095.6
24520,4.7529,20.6757,50758.1
24620,4.66553,20.5828,50848.3
24720,4.70192,20.5974,51823.7
24820,4.56867,20.4572,51320.7
24920,4.50196,20.3882,51735.3
25020,4.61779,20.5201,51800.8
25120,4.62206,20.522,51869.3
25220,4.6504,20.5451,52494.2
25320,4.70387,20.6096,52229.9
25420,4.73516,20.6527,52662.3
25520,4.56598,20.452,53586.2
25620,4.62146,20.5218,53118
25720,4.57204,20.4413,53938.4
25820,4.54988,20.4242,53380.4
25920,4.52705,20.4144,53720
26020,4.56149,20.4583,54127.5
26120,4.65837,20.5588,53942
26220,4.6103,20.5059,53972.7
26320,4.53173,20.407,54660.4
26420,4.64139,20.539,55282.1
26520,4.52933,20.4166,54693.8
26620,4.70995,20.6121,55523.7
26720,4.5865,20.463,55145.1
26820,4.81513,20.7516,55336.1
26920,4.62086,20.5164,56452
27020,4.59209,20.4888,56202.1
