ID,RPD,RPE,TIME
18720,4.30732,4.30732,64474.3
18820,4.1308,4.1308,58704.1
18920,4.13938,4.13938,51860.1
19020,3.46302,3.46302,74528.5
19120,4.25658,4.25658,69755.9
19220,4.41651,4.41651,74121.8
19320,3.70153,3.70153,62888.2
19420,4.45494,4.45494,68609.5
19520,4.67924,4.67924,56703.1
19620,4.02578,4.02578,73476
19720,4.08493,4.08493,50894.7
19820,4.50398,4.50398,71632
19920,4.28051,4.28051,73573
20020,4.49797,4.49797,67063.9
20120,4.43771,4.43771,64937.5
20220,4.35169,4.35169,70017.9
20320,4.21917,4.21917,71004.9
20420,3.65616,3.65616,65744.7
20520,4.43753,4.43753,74874.5
20620,4.60188,4.60188,75549.2
20720,4.79986,4.79986,65010.5
20820,4.42103,4.42103,86642.7
20920,4.31897,4.31897,77593.5
21020,4.57127,4.57127,78043.2
21120,4.49388,4.49388,61843.1
21220,4.16375,4.16375,75046.5
21320,4.43778,4.43778,73584.4
21420,4.38594,4.38594,83327.4
21520,3.39034,3.39034,63789
21620,4.79487,4.79487,74050.9
21720,3.94891,3.94891,59907.1
21820,4.00409,4.00409,84492.9
21920,4.15413,4.15413,66217.7
22020,3.97538,3.97538,67687.2
22120,3.78243,3.78243,76997.7
22220,4.1284,4.1284,75832.1
22320,4.31861,4.31861,61014.2
22420,4.12555,4.12555,73885.2
22520,3.56802,3.56802,63517.9
22620,4.05812,4.05812,90534.9
22720,4.193,4.193,67303.6
22820,3.75854,3.75854,69418.6
22920,4.16306,4.16306,76524.6
23020,3.97429,3.97429,79686.9
23120,4.0103,4.0103,66616.7
23220,4.37671,4.37671,66176.2
23320,4.06909,4.06909,70865.7
23420,4.50314,4.50314,85467.2
23520,4.43724,4.43724,73081.5
23620,4.11105,4.11105,96320.4
23720,4.79282,4.79282,78558.4
23820,3.80513,3.80513,79328.1
23920,4.21214,4.21214,80403.1
24020,4.04361,4.04361,87774.2
24120,4.10571,4.10571,81952
24220,4.71341,4.71341,82401.4
24320,4.0954,4.0954,85365
24420,4.73017,4.73017,81701.8
24520,3.91631,3.91631,69541.1
24620,4.15397,4.15397,89431.4
24720,4.5571,4.5571,85128.9
24820,4.59732,4.59732,67556
24920,4.12533,4.12533,104988
25020,4.58125,4.58125,94293.6
25120,4.26321,4.26321,81074.6
25220,4.16238,4.16238,81022.5
25320,3.98178,3.98178,94333
25420,4.2186,4.2186,85366
25520,4.54424,4.54424,80425.5
25620,3.74044,3.74044,86349.9
25720,4.24745,4.24745,86190
25820,4.4229,4.4229,81309.6
