,err_up,err_low,n,m
0,0.0036463081130355514,0.38143036386449186,10,10
1,0.0,0.32091346153846156,10,10
2,0.0,0.3562130177514793,10,10
3,0.0,0.3525872442839952,10,10
4,0.005780346820809248,0.3576072821846554,10,10
5,0.010978956999085087,0.3525091799265606,10,10
6,0.0,0.33620689655172414,10,10
7,0.007174887892376682,0.33849821215733017,10,10
8,0.0,0.325,10,10
9,0.0,0.3244613434727503,10,10
10,0.12088752869166029,0.5906623235613464,10,15
11,-0.10403832991101986,0.2064516129032258,10,15
12,0.010007147962830594,0.43016194331983804,10,15
13,0.012160228898426323,0.4206827309236948,10,15
14,0.009641873278236915,0.40826128722382327,10,15
15,0.011653313911143482,0.4002016129032258,10,15
16,0.003762227238525207,0.38381742738589214,10,15
17,0.0,0.3775023832221163,10,15
18,0.009702009702009701,0.3902671755725191,10,15
19,0.0021008403361344537,0.35255198487712663,10,15
20,0.006658595641646489,0.3963056255247691,10,20
21,0.003006614552014432,0.33653846153846156,10,20
22,0.0011370096645821489,0.38334642576590733,10,20
23,0.0034762456546929316,0.38118022328548645,10,20
24,0.0,0.35760517799352753,10,20
25,0.011764705882352941,0.36616362192216045,10,20
26,0.0,0.3492857142857143,10,20
27,0.0077473182359952325,0.3517186250999201,10,20
28,0.0012084592145015106,0.3417004048582996,10,20
29,0.008792497069167644,0.34453125,10,20
30,-0.04460431654676259,0.2695984703632887,10,5
31,0.046686746987951805,0.2545126353790614,10,5
32,0.0014326647564469914,0.25719424460431656,10,5
33,0.004120879120879121,0.24319727891156462,10,5
34,0.0,0.2336283185840708,10,5
35,0.0,0.23356401384083045,10,5
36,0.0,0.21231766612641814,10,5
37,0.0,0.20930232558139536,10,5
38,0.0,0.20246478873239437,10,5
39,0.0,0.20221169036334913,10,5
40,0.06201044386422976,0.26124031007751936,20,10
41,0.1081262592343855,0.29007036747458953,20,10
42,0.0760655737704918,0.27012383900928794,20,10
43,0.0835427135678392,0.27588757396449703,20,10
44,0.10332871012482663,0.29771615008156604,20,10
45,0.09039900249376559,0.27571115973741794,20,10
46,0.07868020304568528,0.26112759643916916,20,10
47,0.07730986800754243,0.2575201760821717,20,10
48,0.054637865311308764,0.2269031781226903,20,10
49,0.07124183006535947,0.24923780487804878,20,10
50,0.03254132231404959,0.31081967213114753,20,15
51,0.13594841483073616,0.3990734612839179,20,15
52,0.07611548556430446,0.34338138925294887,20,15
53,0.0778642936596218,0.33379215416379904,20,15
54,0.07280750137892995,0.3267394270122783,20,15
55,0.0736,0.3269611074489123,20,15
56,0.09795918367346938,0.3560176433522369,20,15
57,0.05794102431453699,0.305874840357599,20,15
58,0.08232711306256861,0.33513879485443465,20,15
59,0.07628865979381444,0.32571428571428573,20,15
60,0.030837004405286344,0.344055140723722,20,20
61,0.10186448385629832,0.3989607390300231,20,20
62,0.0695852534562212,0.3799048751486326,20,20
63,0.07158541941150637,0.37697516930022573,20,20
64,0.0720554272517321,0.3774480712166172,20,20
65,0.07370786516853933,0.3761520737327189,20,20
66,0.06852902662592754,0.3675977653631285,20,20
67,0.06923751095530237,0.36694677871148457,20,20
68,0.0707070707070707,0.3661394258933802,20,20
69,0.07646559048428207,0.368989735278228,20,20
70,0.11241610738255034,0.21095890410958903,20,5
71,-0.010458567980691875,0.05670103092783505,20,5
72,0.027450980392156862,0.11679454390451834,20,5
73,0.03854875283446712,0.12254901960784313,20,5
74,0.055013309671694766,0.1356255969436485,20,5
75,0.024645257654966394,0.10289389067524116,20,5
76,0.05628517823639775,0.13279678068410464,20,5
77,0.05719237435008666,0.13172541743970315,20,5
78,0.06261343012704174,0.13689320388349516,20,5
79,0.02885345482156416,0.10073111291632819,20,5
80,0.1044238683127572,0.2475305055200465,30,10
81,0.12637075718015667,0.25261324041811845,30,10
82,0.10629170638703528,0.2478494623655914,30,10
83,0.10399614829080404,0.23478729133010232,30,10
84,0.11773778920308484,0.24441900400686892,30,10
85,0.12951062778052397,0.2568756875687569,30,10
86,0.10376896720509056,0.23224043715846995,30,10
87,0.11184544992374174,0.23769100169779286,30,10
88,0.1160337552742616,0.24397413286302175,30,10
89,0.11687631027253668,0.2447429906542056,30,10
90,0.10919781604367913,0.32116058029014505,30,15
91,0.11614255765199162,0.3004396678065462,30,15
92,0.12597066436583262,0.33709016393442626,30,15
93,0.12760416666666666,0.3323076923076923,30,15
94,0.11211129296235679,0.30735930735930733,30,15
95,0.08584399504746182,0.27594568380213386,30,15
96,0.13616652211621855,0.3313008130081301,30,15
97,0.12392055267702937,0.3159757330637007,30,15
98,0.12848689771766694,0.3224368499257058,30,15
99,0.1416555998229305,0.336962156557802,30,15
100,0.18085508891411275,0.4728645587541293,30,20
101,0.027807486631016044,0.23787033061399743,30,20
102,0.08888888888888889,0.35157618213660247,30,20
103,0.11534315486884657,0.37041942604856515,30,20
104,0.11305970149253732,0.3479439674649797,30,20
105,0.10329341317365269,0.33696145124716553,30,20
106,0.1141804788213628,0.34743875278396436,30,20
107,0.10951327433628319,0.3409090909090909,30,20
108,0.10490753911806544,0.33462199312714774,30,20
109,0.11413237924865832,0.34339948231233824,30,20
110,-0.04376731301939058,-0.0005790387955993051,30,5
111,0.1325595601710446,0.17193426042983564,30,5
112,0.054603174603174605,0.1,30,5
113,0.05260011954572624,0.09514925373134328,30,5
