ID,RPD,RPE,TIME
48620,4.9558,4.9558,110359
48720,5.11787,5.11787,110684
48820,5.13523,5.13523,109395
48920,4.93811,4.93811,109993
49020,5.07717,5.07717,110817
49120,5.89199,5.89199,109113
49220,5.7201,5.7201,110353
49320,5.34183,5.34183,110296
49420,5.44717,5.44717,111196
49520,4.47387,4.47387,111073
49620,5.2273,5.2273,111478
49720,6.0632,6.0632,111022
49820,5.04971,5.04971,112583
49920,5.2966,5.2966,112689
